date,a00,a02,a05,a10,a15,a30,a45,a60,t00,t02,t05,t10,t15,t30,t45,t60,tsum
20070728,734665,4632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070729,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070730,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070731,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070801,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070802,739297,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20070803,724228,15069,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
20070804,731325,7972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070805,733394,5903,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3
20070806,710415,15172,13710,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070807,718159,21138,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
20070808,721176,18121,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3
20070809,728583,10714,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
20070810,717334,12964,8999,0,0,0,0,0,2,4,2,0,0,0,0,0,8
20070811,721405,15636,2256,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20070812,736416,2881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070813,726863,8283,4151,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20070814,734580,4717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070815,735370,3927,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
20070816,730903,7072,1322,0,0,0,0,0,1,0,1,0,0,0,0,0,2
20070817,720311,18986,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20070818,729609,9688,0,0,0,0,0,0,6,1,0,0,0,0,0,0,7
20070819,714918,19838,4541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070820,725974,11547,1776,0,0,0,0,0,1,1,1,0,0,0,0,0,3
20070821,733600,3950,1747,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070822,723515,13705,2077,0,0,0,0,0,0,1,0,0,0,0,0,0,1
20070823,710701,26155,2441,0,0,0,0,0,0,3,0,0,0,0,0,0,3
20070824,700456,38841,0,0,0,0,0,0,2,8,0,0,0,0,0,0,10
20070825,732316,4262,2719,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070826,734799,2637,1861,0,0,0,0,0,2,0,11,0,0,0,0,0,13
20070827,725344,8952,5001,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20070828,720869,15427,3001,0,0,0,0,0,0,5,0,0,0,0,0,0,5
20070829,735589,3708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070830,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070831,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070901,739297,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
20070902,739297,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20070903,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070904,739297,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
20070905,732994,6303,0,0,0,0,0,0,2,4,0,0,0,0,0,0,6
20070906,715639,23658,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4
20070907,706353,32944,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
20070908,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070909,738308,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070910,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070911,739297,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20070912,737493,1804,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20070913,731169,4357,3771,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070914,734457,4840,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9
20070915,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070916,739297,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
20070917,719768,16316,3213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070918,721103,18194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070919,734586,4711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070920,731086,6591,1620,0,0,0,0,0,3,1,0,0,0,0,0,0,4
20070921,712503,15477,11317,0,0,0,0,0,0,0,1,0,0,0,0,0,1
20070922,739297,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
20070923,736868,2429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070924,734619,4678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070925,735430,3867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070926,739297,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
20070927,739297,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
20070928,728563,10734,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
20070929,701637,32023,5637,0,0,0,0,0,2,0,0,0,0,0,0,0,2
20070930,719940,10826,8531,0,0,0,0,0,2,0,4,0,0,0,0,0,6
20071001,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071002,719934,14239,5124,0,0,0,0,0,2,5,8,0,0,0,0,0,15
20071003,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071004,733827,5470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071005,736654,2643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071006,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071007,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071008,737600,1697,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20071009,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071010,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071011,738728,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071012,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071013,731240,5496,2561,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071014,728601,6193,4503,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071015,735833,3464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071016,732996,6301,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
20071017,682519,15248,20167,9233,12130,0,0,0,0,2,9,1,5,0,0,0,17
20071018,672478,13740,25717,13239,14123,0,0,0,0,0,8,7,30,0,0,0,45
20071019,711587,16591,11119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071020,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071021,731551,3917,3829,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071022,722250,7887,9160,0,0,0,0,0,0,2,4,0,0,0,0,0,6
20071023,732916,4885,1496,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20071024,736259,3038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071025,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071026,736026,3271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071027,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071028,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071029,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071030,737738,1559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071031,738010,1287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071101,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071102,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071103,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071104,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071105,735631,3666,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20071106,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071107,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071108,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071109,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071110,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071111,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071112,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071113,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071114,731005,8292,0,0,0,0,0,0,1,4,0,0,0,0,0,0,5
20071115,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071116,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071117,735418,3879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071118,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071119,739297,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20071120,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071121,714994,18153,6150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071122,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071123,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071124,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071125,730079,2925,6293,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071126,732925,4021,2351,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071127,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071128,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071129,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071130,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071201,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071202,731102,4679,3516,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20071203,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071204,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071205,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071206,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071207,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071208,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20071209,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
